OTU_ID	sample_2353	sample_2160	sample_1861	sample_2187	sample_1533	sample_1828	sample_2262	sample_1728	sample_1799	sample_1758	sample_1760	sample_388	sample_1347	sample_1558	sample_1401	sample_607	sample_1546	sample_706	sample_1543	sample_1600	sample_2192	sample_1811	sample_566	sample_573	sample_2289	sample_1740	sample_1427	sample_1337	sample_1825	sample_483	sample_1522	sample_1832	sample_669	sample_2222	sample_473	sample_1500	sample_1475	sample_1520	sample_2158	sample_511	sample_469	sample_1489	sample_445	sample_2311	sample_1774	sample_2274	sample_520	sample_455	sample_1387	sample_424	sample_695	sample_1637	sample_1275	sample_1733	sample_429	sample_453	sample_2148	sample_1479	sample_1535	sample_1644	sample_1854	sample_743	sample_1464	sample_517	sample_1484	sample_1357	sample_1622	sample_1456	sample_433	sample_407	sample_2171	sample_685	sample_1269	sample_420	sample_535	sample_2281	sample_461	sample_2369	sample_382	sample_2167	sample_1707	sample_1560	sample_1443	sample_651	sample_1291	sample_2261	sample_574	sample_1276	sample_1372	sample_393	sample_565	sample_514	sample_1804	sample_1298	sample_2219	sample_1548	sample_726	sample_1263	sample_1678	sample_557
P_0	11862209.19120784	14802204.614889905	13843460.879927738	7156182.190221798	13324161.21172184	17127325.709394824	8543652.264350582	11927382.832414413	13424729.839111298	19487660.52068743	13217770.78012716	0.0	13276971.263156384	12209665.144113168	10446903.78935244	14579984.864782168	11787728.672710717	11774019.638961503	10113810.78578601	10906148.76026887	10997393.030951526	17897371.763286892	17576933.32432743	12935486.415586092	22190213.416467	10461477.882025482	13089309.489182232	9163725.222548705	25291544.473836448	0.0	11074045.852132794	16701531.77683873	15802404.11741552	13439649.346051358	0.0	9125003.919336213	8915199.8920831	7557340.184987348	12124582.38212256	9556489.427862355	0.0	14848580.202195862	0.0	9021916.512575528	11326004.395650985	11649635.183622902	9256887.436761197	0.0	14968255.85001931	0.0	9315009.448138578	8165690.845023965	11932052.498509286	13679086.78324966	0.0	0.0	10565043.36962449	11010950.703925516	10774584.002320236	15374319.016626662	15584160.803344589	7411320.845339153	21037553.4065322	10280701.37123568	9894908.46338041	7115464.903271531	10781547.791631524	9576387.168474378	0.0	0.0	13258860.390481498	12326978.342626844	15524358.136200633	0.0	20543522.979255684	7578616.77056185	0.0	15253648.572534213	0.0	34139775.03729905	21965211.13267536	8991334.178675441	9474002.97201842	10584453.315839168	9680658.122849297	13643357.943949288	19543850.783750653	8528413.444661856	11946273.501522904	0.0	17585525.026458427	9814282.418756513	15259780.117868278	16228924.377666328	11869043.340283437	12489697.612901906	14336771.209144993	10476893.211851548	13914214.2054492	14757648.82707639
P_1	3961242.667712158	5824591.721517312	2783593.2979185274	4094659.420206625	2419707.348776314	5116122.542563849	3468420.490497466	4853030.962898121	4025031.989593355	2846302.5948426947	3506438.8205752326	0.0	3322749.546149499	3016253.786603322	3892791.8025094345	2894047.9603246027	2754965.8803725285	4464578.359724556	2595253.4487862694	2640913.7966794027	3560817.5673622936	4480786.211747611	3822770.0789814224	3447413.9102451084	3311140.1412028694	3596463.3280559634	2990005.324616845	4059492.771293421	3642477.625515254	0.0	3112745.3841635226	2971021.415087905	2794132.931699376	3245125.7055585617	0.0	2491626.3196456656	2803498.183974218	3743596.530457303	3119438.536276908	4218463.685128974	0.0	4147156.124891842	0.0	2509681.223246521	3229559.732673122	2538990.681429712	2844669.4481179942	0.0	4363940.479366858	0.0	2275405.448285126	5268976.600697942	4435050.148620077	3538553.131518837	0.0	0.0	4951488.610216428	2924318.988695831	2880079.5429636226	2765510.463856853	4204470.826361145	2608974.965061228	4207406.45684242	3043477.7956891125	2797042.266239055	1845100.218233395	3385130.057598209	3250742.1622775216	0.0	0.0	2702347.240808752	3599553.558232885	3940487.228099297	0.0	4230177.913944747	1943654.665014683	0.0	2693026.3952978035	0.0	2142207.7919192123	3787113.34381135	3300152.502383644	3068412.1195457987	6568517.012636309	3321552.667306876	3321941.0237020883	2665305.862939223	3080469.921667091	2878965.7815551898	0.0	2653328.1483729417	4335151.484658561	2635970.189088853	3446007.831069576	3212687.43846911	2505702.6236191704	4043227.177509537	2995538.8563482515	4434006.013868709	3538004.76111284
P_2	6721406.992315806	8729573.32305056	8937254.033768222	4275786.181055382	7189428.189439288	7262776.035659322	6470529.360565116	7954279.005760152	9162821.038707249	7515997.781446813	8968850.787226481	0.0	7026400.328141307	5709391.951526159	5564594.65871918	7161838.256000299	5539367.629040978	7644167.278955223	4706931.425399142	6629311.20678606	6406047.615768475	8681458.263538998	8990584.511297632	9575518.049066585	12230918.953487368	5189693.038115871	9958238.612045456	5508954.910685635	13995397.83582016	0.0	6982822.424529518	12148108.71016411	9998724.82274802	7121045.03525182	0.0	5291295.634348677	4599723.387370998	5750347.555436567	6664926.291993044	6357815.646009541	0.0	9489526.179673746	0.0	6128791.239387327	6749993.590035147	8624177.001025254	5270167.1463239705	0.0	6944570.249312696	0.0	5969314.178861639	5997524.92280865	7914620.817103598	6640243.759573634	0.0	0.0	6747948.773592063	6651065.893179091	5495164.449028282	9544674.967126438	8980539.878800722	4770692.549594603	12943608.600008542	4996704.020033064	8482303.902569246	4357976.72676664	7252929.166987317	5689460.674574659	0.0	0.0	5818784.489088646	6487716.419365793	7871748.86857659	0.0	11266855.027710998	5747246.611167716	0.0	8321378.33445349	0.0	11216453.58607107	17935351.534305684	4281627.256700342	5009331.1242749	5977370.4599610455	6854647.375092492	7053700.106667067	11061976.386206564	4834309.895183369	7107764.172311195	0.0	10255133.062558489	6204539.033886807	10213634.235663366	9931425.1432691	6396217.788199039	5790806.374660162	10070798.408075104	5605629.051011831	6839579.939310256	8567719.139386924
P_3	3172570.889449368	2381867.1308931108	2942734.219169569	2713267.6154101174	2573598.815989541	3596282.5546004544	2294837.352981158	3208818.0024654963	3162426.917645273	2535119.472009277	3893066.7677025534	0.0	3543048.104964593	2496886.780362335	3087529.4504785542	2554290.0498883734	2345536.73512842	3815252.137494788	2158326.4519182346	2619889.6204213467	3097963.20828162	3939141.015945525	3274924.141182478	3058812.251882351	2800505.943796876	3648119.9990517017	3629852.168619933	2715365.4749034573	3503481.3709484567	0.0	2365430.9547823686	3344446.461826398	3197107.519402386	2883628.35785711	0.0	2023396.929114548	2782663.8513711547	2340502.40389376	2937814.3262298303	3359666.352305304	0.0	3643978.934093245	0.0	2499407.24727864	3531020.1768910107	2959037.5339083425	3096887.2881031325	0.0	3773053.606464931	0.0	2496803.772978805	3923370.083805729	2853437.2951983595	3755246.016933876	0.0	0.0	3511036.0947176004	2976060.0423830105	2025651.4007038795	2172036.5501002194	3006301.5486421604	1899098.595737569	3093862.603085102	3267693.659571619	2206066.497704116	1142220.7805136624	3601471.2537559588	3719234.7155281617	0.0	0.0	2459574.154144993	3238640.968556868	2367428.2285861066	0.0	3781189.5680756816	1483604.6709312154	0.0	2361424.2513314723	0.0	1972843.433406987	3430245.690037573	2927674.464728322	2567805.5274683526	4313424.288760063	2597818.236919294	3024133.6797056827	3018755.2887782096	2495624.852628458	2524584.577811609	0.0	2532616.366282409	3691425.775334175	2195802.2571184286	2815370.134378678	3253330.538660373	2697737.589038112	2813237.820476125	2582137.2772109453	4185413.862036052	3082591.211993943
P_4	1959514.5897570988	1997986.1863952589	2014548.7108907409	1904002.0174569369	1836247.412063352	2177309.796686446	1946843.4126563624	2545656.6658311407	2026298.859653778	1677470.9252846416	2571122.9668533267	0.0	1870445.6642701195	1775249.7655260905	1875422.043907797	1680497.6565260722	1456283.3970158163	1714851.8034757755	1802699.476657794	1381432.035780167	1953718.665001464	2767308.057044085	2285965.366132955	2066118.654802977	2033582.550520938	1905341.8274946432	2720409.958362083	2018704.997996404	2288323.7488856297	0.0	1642166.0121098312	2264918.334189834	1791624.7856612331	1696410.2665558157	0.0	1504021.6465260645	1829889.9216615327	2296343.319663717	2031074.961846902	1943655.7103494103	0.0	2332655.4091870287	0.0	1413149.9815067626	1989446.4496302	1629842.566148954	1516130.0826518564	0.0	2520946.0109955366	0.0	1904328.260629095	2735187.505690462	2369370.5453278697	2085343.432485764	0.0	0.0	2428182.3880223813	2364747.203511648	1428040.9401337546	1856500.5657542653	1855967.1031290127	1485850.5386989778	2669249.1726905145	1217764.900338919	1677859.0125329995	1253852.2553741212	2062683.357803951	1624153.425906303	0.0	0.0	1349635.5064964474	1957505.9540259207	1912644.523966374	0.0	2529233.5422544926	1119010.8953921576	0.0	1550970.5809269482	0.0	1572457.7314163889	2204170.0093412474	1492816.2096175237	1905049.284865592	2450658.143122516	1955596.4269468936	2139550.044679392	1659899.1448315626	1324157.8018927348	1444439.6697430816	0.0	2081064.9290381232	1875775.376233833	1823103.2855969167	1598456.6234761556	1713066.4794189709	1720465.201139412	1733530.5065165225	1453170.0713324116	2270965.945119752	2496390.5794206527
P_5	3247371.6277268585	3095842.69904163	5792243.164070663	2945326.730261423	2867935.6466147187	3333135.395107514	3679787.202936983	4831202.277782319	5107799.874011344	3445756.9709797027	12223860.311098251	0.0	2381120.449681141	3868881.937781251	4203490.479547947	4547168.1924101	2118054.633167345	3830263.969186391	2883093.4567889883	2653935.096847168	2608322.023491728	4582729.556757581	4485465.964174466	6644603.762050621	2904228.76104036	4094762.547056398	5098557.619001831	2968149.505765208	4623890.754183159	0.0	2476285.5008575404	3540554.015486037	3181962.343431108	4369615.495478811	0.0	5559419.928773242	3108353.127387864	2315906.388490095	4590527.917897789	2825321.565809713	0.0	3849458.7394597298	0.0	3212036.8923297003	5149617.960486076	3498450.702836247	4569253.94165597	0.0	2406500.132387925	0.0	5815798.959953053	2890892.1824997147	4285023.009058979	3685310.2930990495	0.0	0.0	3711693.786674973	4209249.105804698	1908934.8087880544	3833485.903912557	4711628.09070397	3269973.157853313	6873251.191019283	2357501.5978366537	6261746.902859677	2641122.72574768	3307229.615918622	4058301.436135816	0.0	0.0	5416265.324387942	4117577.489777784	3442031.3967194995	0.0	5158715.171910227	2967182.028868052	0.0	4203928.103962965	0.0	3168669.111306311	4444278.364125042	2746550.363093889	3027547.200253195	2594038.4609468747	3120190.723600079	4228514.628864162	2958594.1425273214	2355443.7440473386	3395167.4749327293	0.0	5184277.787028799	3851635.144650192	3975454.996068812	3669724.860699891	5986975.450409371	3479212.795388867	3336439.199409128	3487575.2890304066	5360279.439120513	3797832.171093904
P_6	7203625.611052366	7742678.997488235	8885815.678801762	5167203.44663485	8059588.7769784145	9575745.247815844	5703229.371337665	7342672.203910004	9660638.98997153	7848473.400623752	7490377.254557513	0.0	7280061.915670144	7084583.932959069	5859783.555444242	9211066.3787962	6753307.689108996	8318043.848267565	5379550.754461405	6537841.067847283	7904952.865451334	9544101.207776653	9449552.19947504	9849898.679526892	12240745.50237142	7047330.314459787	9053652.295716174	6693848.757604828	15657002.73481726	0.0	7313973.301458239	11263610.820795268	9623889.187761337	7867163.881231869	0.0	5418391.5694277175	6930420.491003125	6132520.53082078	6885599.812786137	6362416.502774546	0.0	9995876.00730159	0.0	4607384.547885011	8039242.17767184	7461634.879934621	6712628.056339534	0.0	6902947.295973974	0.0	6655322.498700461	5723145.5089959055	8891954.155383628	7135758.89756116	0.0	0.0	7128231.235573619	6559274.54585333	5345510.225287524	9306583.37023756	9845052.284087025	5121254.458815278	12823179.35491546	6075121.571152035	6944394.6927587865	5147746.165300321	6149014.445557549	5997509.868215219	0.0	0.0	5042442.484955403	7724321.20076952	7410765.639571354	0.0	12087740.100917112	6559651.399374916	0.0	9506381.147490004	0.0	12408044.081891468	13989834.088529808	4968795.59472398	5561086.584865904	8733833.388487276	5697825.161919087	8744821.895641826	12025183.119961657	5385532.700468901	7246334.183649184	0.0	12230964.676236372	7250329.587349306	9979948.42020035	9708045.58931448	9096768.554581985	6208654.407935808	8053713.220843591	5440440.459557738	8662571.740761323	10509573.05834553
P_7	1481026.117775035	1738795.84209383	2746685.1493891696	1557507.8838173165	1729091.4313409652	1832247.2029793733	2379138.7388727674	2445883.3987506167	2418273.08154156	1771909.0137603856	4260901.354535654	0.0	1561310.1632789546	1559422.5636537068	1937279.4453209848	2043813.9803481265	1067385.749826552	1499336.6459963543	1379139.634076642	1226081.728060221	1890225.4994899065	1864998.7784988724	2261398.5127427336	3069882.930339189	1243710.148596516	2052377.7917302048	2431067.161125296	1926292.7334508493	2389365.931137356	0.0	1347068.1603172196	2388412.910741975	1545681.1444791402	1731392.565127608	0.0	2547109.195513234	1753273.5650867615	1723582.8210135167	2038410.4395629244	1751540.330674983	0.0	2388453.567545432	0.0	1692530.567948527	2023210.827334004	1322156.1852762008	1878035.9164729645	0.0	1752704.0495528271	0.0	2598763.459144854	1831339.6250573269	1810626.190065196	1842138.699321314	0.0	0.0	2008961.7667444309	2130292.979408318	1122756.32283597	1736941.5434003598	1867924.210499761	1676335.2649008988	2808192.142557932	1223809.022029065	2381957.541139346	977708.793302134	1941564.2983440664	1589242.2154585714	0.0	0.0	2128432.4492079434	1962912.952429589	1668944.2600620666	0.0	1518706.1594287923	1600488.0360934532	0.0	1555250.993726028	0.0	1281997.0418935549	2023254.3399906512	1529744.8093024015	2050329.690019528	1366564.207680917	1099446.3105899084	2404795.758968728	1502359.6358806633	1495349.9392280425	1257087.799286849	0.0	2129420.533720165	1849822.1883088087	2275081.760285043	1486101.7765229575	2147877.2912903256	1776298.2706581648	1322223.8335120047	1566871.0803263418	2228204.744239596	2171088.9286141666
P_8	3328707.913426171	2168026.84767046	3407358.8073645714	2903765.54396901	1826675.703064234	3698660.62391385	3252515.1897569564	3319517.927730937	3883981.0673307767	2491175.602763202	4439620.902259533	0.0	2951177.453533768	2400812.6662041782	2739961.098276533	1952686.0478205816	1790992.834006026	2469394.535454088	3091967.7072912822	2298599.446149859	2208066.238899801	2598874.3575960686	3225454.488620052	3456562.565135289	1983745.3285951647	4291662.674071138	2973372.8696628264	2794617.141460469	2720678.390385284	0.0	1910015.616739363	3670654.076087348	2308275.3782772627	1907730.397893804	0.0	2032836.138839384	2759086.3519144496	1529094.7639475325	2528414.5131222936	2956429.4134963816	0.0	2637237.350573646	0.0	2326676.1714520827	3178197.0343950577	4612269.955714243	1515705.085183254	0.0	2144860.6782940184	0.0	2658782.804874597	2070514.5150679888	2518288.434085157	3120892.372971767	0.0	0.0	2849361.745331502	2385052.732348012	2072926.845783941	3066475.191716436	2388604.349437903	2003275.3158260733	3542142.238125808	1899774.045169179	1953525.8542964784	1804651.9461586936	2531366.919303689	2935923.6233688006	0.0	0.0	2243724.362406684	3187735.331332888	2615963.514796694	0.0	2735993.6670787293	1571498.3688164998	0.0	1589600.68409491	0.0	2058328.8951808363	3085504.119486666	2137120.891956553	2878616.9740243265	2203276.8551634066	2369455.9516952094	2783465.8512335634	2337289.5249241674	2246796.1620002645	2621559.2956583444	0.0	2436897.760127696	3167398.142092664	4055921.547406925	2450357.2309362185	3573319.9052353376	2140859.563733932	2344265.3536504693	2780685.8107834854	3646019.488913251	3100626.214631647
P_9	4151438.5713466927	5075679.767362336	4917732.675262416	4218056.068819427	4337586.587322415	6059525.0404086085	3935848.184048872	5787663.025773002	4754229.88534245	4337981.779287195	6692697.184284371	0.0	5196812.442972386	4672687.795197426	4791968.378066655	3665349.0537223183	3970060.148591863	3536668.6308140685	4073091.930944999	4163165.526223425	4771447.734689044	5224737.092495679	6877743.767521066	5253547.91307865	7680122.454591792	5110220.53253386	4835673.66327404	3432005.5311523858	6685347.230499046	0.0	3466780.4854481323	6854371.947757556	4977573.820897345	5730728.176095521	0.0	3140711.963338552	3639126.806480629	3345170.907389988	4513741.744334119	4571353.700064226	0.0	5853870.679158145	0.0	3412485.8568440634	5750481.862463828	5517841.946324044	4210462.37494642	0.0	5139930.539152547	0.0	3999226.480141175	3544594.670527302	3942036.6090965546	4700742.176511283	0.0	0.0	6117474.433954373	4915754.075579015	3527834.234971691	4566253.30101166	6256307.25638113	3564665.1755466205	5597192.805619879	5410323.670979244	3039032.659453697	2013027.279660586	5929234.936557818	5877240.357267349	0.0	0.0	4266891.83770062	5886759.291413765	4525659.828940703	0.0	6588792.678426343	2409766.9407704263	0.0	4564946.9796801405	0.0	3788570.068203894	5229794.259686431	2793717.670196509	3898747.083330644	7677209.21949545	3110601.4683899274	5127739.230633484	5598777.884457631	6358794.191708569	3777089.727849836	0.0	4622815.873014755	4514586.702967091	4774164.086801823	5105208.589822256	4948306.66521718	6796229.796607922	4788036.199119795	4016812.411537051	7018585.273956595	7027143.554900756
