OTU_ID	sample_1544	sample_1552	sample_1827	sample_2208	sample_1800	sample_1575	sample_2147	sample_1812	sample_1811	sample_1451	sample_1300	sample_1728	sample_476	sample_1400	sample_676	sample_1663	sample_1388	sample_1495	sample_1576	sample_1284
P_0	9065478.106422368	22895285.52510008	9521706.78766507	12573025.308845254	11705026.840584405	6777262.143839261	18590289.93217588	11818907.55551773	17897371.763286892	8573775.128422353	23159262.644785963	11927382.832414413	0.0	12625219.605026765	12205378.339246256	7223000.018959464	14441483.165619686	12267044.82991533	10655476.672425834	19970013.59182269
P_1	2514481.4093101327	2493819.1224064115	3729616.619283157	2757457.5013335613	2604684.953970936	3180257.673119165	2688666.2242003595	4326280.069808737	4480786.211747611	3741116.583333378	4161839.52033957	4853030.962898121	0.0	4056993.687323894	3136667.883625792	2464055.5867557614	4089134.1211115858	4266899.575221704	4403978.140871017	2814597.775071834
P_2	6415444.690376342	6995918.851408682	6729070.326122801	6504564.160570224	8869341.381658139	4245388.614219979	10071073.141708115	6952310.722856504	8681458.263538998	5604413.890081649	13078700.227324445	7954279.005760152	0.0	8431948.689293418	7250871.074865426	4944899.274875752	8019713.066659834	5526532.519692792	5869637.821884591	11088755.04580159
P_3	2194799.8861183897	2051604.6256710112	3036411.4446786307	2603347.631577909	2901499.134888691	2276632.143078837	2271472.9940325324	3563447.298152535	3939141.015945525	3618138.344539695	2932217.5969555057	3208818.0024654963	0.0	3239376.125898051	3201932.299533836	2709754.909434241	3597947.0240346035	2970451.38531103	2969721.228239768	3014198.5574995093
P_4	1250641.255538852	1569940.6909501525	1639011.4914428643	1726775.8886249354	2080693.131526689	1900200.14678179	1751322.7508182684	2084809.0079085329	2767308.057044085	2119165.951475684	2395295.6669177576	2545656.6658311407	0.0	1691985.346704349	1945821.398180883	1357491.204328689	2482707.406934492	1866191.50796561	1783765.4637847892	2093024.3924632687
P_5	2681419.576880705	2965504.9871573406	3113930.8822054574	3506559.0412543803	11448288.334178437	4140595.711375577	5128689.261647228	5863495.753954085	4582729.556757581	5842354.236332174	4020066.518411048	4831202.277782319	0.0	3021227.17778982	3551375.394849969	4458071.828772856	5353889.455113833	2886344.199169311	2866091.329218489	4815388.297329303
P_6	6220129.402797179	8633928.28242932	5763944.165790288	7781828.480645544	9495636.793421812	5318445.351963815	11359531.327496042	8020773.007710242	9544101.207776653	5734879.805506425	11931683.764539652	7342672.203910004	0.0	6782486.030187964	6881713.2429936025	4004579.797992346	8061939.016222361	7718389.129841656	7092987.659894001	11407131.681694128
P_7	1464470.991514129	1213055.6371728503	1744518.1283925832	1579989.150260888	3596382.476180289	1741511.62883838	2120849.5173262586	1441114.147962307	1864998.7784988724	2718783.7333584568	2312053.274122152	2445883.3987506167	0.0	1559656.0512989878	1565812.0446225374	1488860.3853352747	2501903.242238648	1856231.0838881792	1950010.898502829	1743118.769146447
P_8	1820742.618300293	2593706.5843186923	2501537.6945170574	1974867.8326079496	3933531.892933516	1784476.8314801287	2492472.811331627	3678484.910197671	2598874.3575960686	3404179.5820316263	2826363.487047007	3319517.927730937	0.0	2551461.934215787	2681489.837460865	3977241.502538298	4836340.269659348	2232435.815838876	1823395.2071527725	2991193.598486759
P_9	2789659.9575528568	5139816.04325922	4801321.94725109	4517160.566904789	4753455.7643463975	3231674.8274715133	5706967.964657747	6130430.737524428	5224737.092495679	4692093.253175279	6446971.44089639	5787663.025773002	0.0	5276918.8293793965	4905428.805020226	4603416.894091332	4800123.356494143	4349801.410176694	4008170.675272992	6108490.964382784
