OTU_ID	sample_2353	sample_2160	sample_1861	sample_2187	sample_1533	sample_1828	sample_2262	sample_1728	sample_1799	sample_1758	sample_1760	sample_388	sample_1347	sample_1558	sample_1401	sample_607	sample_1546	sample_706	sample_1543	sample_1600	sample_2192	sample_1811	sample_566	sample_573	sample_2289	sample_1740	sample_1427	sample_1337	sample_1825	sample_483	sample_1522	sample_1832	sample_669	sample_2222	sample_473	sample_1500	sample_1475	sample_1520	sample_2158	sample_511	sample_469	sample_1489	sample_445	sample_2311	sample_1774	sample_2274	sample_520	sample_455	sample_1387	sample_424	sample_695	sample_1637	sample_1275	sample_1733	sample_429	sample_453	sample_2148	sample_1479	sample_1535	sample_1644	sample_1854	sample_743	sample_1464	sample_517	sample_1484	sample_1357	sample_1622	sample_1456	sample_433	sample_407	sample_2171	sample_685	sample_1269	sample_420	sample_535	sample_2281	sample_461	sample_2369	sample_382	sample_2167	sample_1707	sample_1560	sample_1443	sample_651	sample_1291	sample_2261	sample_574	sample_1276	sample_1372	sample_393	sample_565	sample_514	sample_1804	sample_1298	sample_2219	sample_1548	sample_726	sample_1263	sample_1678	sample_557
theta_p_0	73.0	113.0	116.0	34.0	289.0	63.0	373.0	125.0	351.0	335.0	282.0	392.0	202.0	140.0	59.0	192.0	101.0	13.0	175.0	186.0	97.0	156.0	85.0	67.0	117.0	297.0	140.0	283.0	388.0	155.0	307.0	244.0	445.0	321.0	14.0	135.0	46.0	53.0	168.0	137.0	43.0	166.0	53.0	1229.0	338.0	76.0	998.0	169.0	101.0	74.0	48.0	273.0	16.0	148.0	232.0	13.0	134.0	366.0	395.0	254.0	107.0	60.0	120.0	568.0	945.0	2168.0	381.0	140.0	45.0	118.0	360.0	37.0	161.0	51.0	323.0	485.0	82.0	548.0	60.0	643.0	147.0	316.0	364.0	30.0	438.0	427.0	495.0	352.0	1075.0	53.0	48.0	103.0	198.0	238.0	30.0	65.0	53.0	439.0	55.0	118.0
theta_p_1	236.0	9.0	132.0	122.0	95.0	129.0	66.0	77.0	116.0	641.0	101.0	53.0	150.0	102.0	124.0	9.0	49.0	48.0	80.0	400.0	76.0	10.0	23.0	177.0	439.0	93.0	62.0	142.0	92.0	215.0	315.0	36.0	11.0	95.0	53.0	209.0	296.0	51.0	102.0	8.0	88.0	146.0	113.0	50.0	217.0	64.0	45.0	17.0	57.0	226.0	72.0	24.0	216.0	121.0	163.0	171.0	16.0	68.0	135.0	37.0	155.0	179.0	66.0	16.0	22.0	20.0	22.0	121.0	15.0	70.0	29.0	33.0	59.0	132.0	50.0	61.0	53.0	403.0	130.0	116.0	83.0	247.0	171.0	79.0	80.0	43.0	23.0	424.0	190.0	110.0	26.0	286.0	234.0	88.0	77.0	18.0	258.0	202.0	117.0	64.0
theta_p_2	117.0	136.0	70.0	3.0	22.0	50.0	168.0	16.0	52.0	17.0	19.0	16.0	15.0	167.0	19.0	200.0	251.0	452.0	57.0	158.0	124.0	178.0	41.0	22.0	31.0	95.0	16.0	104.0	58.0	106.0	26.0	100.0	13.0	32.0	19.0	61.0	8.0	18.0	14.0	52.0	27.0	80.0	47.0	16.0	39.0	149.0	85.0	13.0	26.0	22.0	12.0	74.0	201.0	45.0	11.0	8.0	101.0	66.0	21.0	86.0	147.0	96.0	46.0	7.0	192.0	8.0	134.0	18.0	154.0	11.0	26.0	27.0	62.0	43.0	15.0	8.0	12.0	58.0	4.0	102.0	60.0	154.0	45.0	119.0	24.0	44.0	99.0	8.0	53.0	10.0	3.0	51.0	45.0	34.0	55.0	1.0	60.0	141.0	25.0	17.0
theta_p_3	178.0	161.0	48.0	71.0	78.0	42.0	38.0	39.0	55.0	122.0	92.0	52.0	358.0	8.0	55.0	132.0	82.0	17.0	26.0	27.0	84.0	87.0	94.0	29.0	46.0	151.0	104.0	56.0	102.0	74.0	45.0	27.0	47.0	37.0	8.0	549.0	18.0	957.0	104.0	20.0	15.0	87.0	49.0	11.0	34.0	8.0	29.0	85.0	47.0	275.0	300.0	179.0	32.0	131.0	42.0	95.0	80.0	472.0	137.0	94.0	148.0	559.0	45.0	119.0	151.0	57.0	140.0	37.0	195.0	179.0	2.0	60.0	25.0	23.0	16.0	13.0	4.0	14.0	44.0	36.0	26.0	187.0	448.0	5.0	56.0	23.0	76.0	87.0	87.0	196.0	57.0	89.0	39.0	6.0	48.0	75.0	26.0	31.0	45.0	37.0
theta_p_4	32.0	51.0	125.0	41.0	48.0	3.0	8.0	94.0	81.0	32.0	1499.0	95.0	7.0	91.0	57.0	20.0	9.0	39.0	25.0	14.0	115.0	87.0	93.0	538.0	30.0	126.0	234.0	69.0	110.0	40.0	11.0	16.0	149.0	84.0	73.0	571.0	21.0	30.0	26.0	4.0	25.0	96.0	23.0	10.0	115.0	19.0	175.0	43.0	7.0	33.0	68.0	69.0	109.0	87.0	67.0	152.0	22.0	101.0	20.0	5.0	132.0	60.0	291.0	24.0	687.0	33.0	57.0	93.0	153.0	28.0	218.0	55.0	67.0	426.0	14.0	61.0	53.0	22.0	159.0	1.0	72.0	42.0	30.0	65.0	22.0	9.0	55.0	49.0	54.0	13.0	62.0	11.0	86.0	43.0	49.0	80.0	68.0	27.0	30.0	77.0
theta_p_5	76.0	109.0	39.0	72.0	5.0	114.0	24.0	77.0	72.0	18.0	35.0	70.0	35.0	7.0	124.0	36.0	155.0	69.0	214.0	22.0	38.0	20.0	122.0	232.0	49.0	33.0	167.0	104.0	79.0	9.0	191.0	27.0	58.0	49.0	27.0	32.0	56.0	29.0	79.0	113.0	45.0	8.0	11.0	115.0	82.0	0.0	16.0	163.0	54.0	7.0	63.0	934.0	43.0	78.0	10.0	12.0	13.0	86.0	74.0	109.0	26.0	29.0	136.0	14.0	45.0	57.0	25.0	78.0	13.0	105.0	12.0	21.0	61.0	14.0	22.0	31.0	72.0	51.0	8.0	13.0	117.0	146.0	21.0	31.0	3.0	119.0	57.0	63.0	40.0	18.0	60.0	16.0	28.0	40.0	66.0	75.0	46.0	42.0	37.0	98.0
theta_p_6	20.0	38.0	143.0	79.0	141.0	311.0	46.0	37.0	67.0	65.0	15.0	40.0	37.0	36.0	20.0	10.0	175.0	12.0	23.0	26.0	8.0	124.0	163.0	2.0	250.0	22.0	19.0	14.0	124.0	43.0	77.0	86.0	16.0	65.0	141.0	78.0	51.0	38.0	75.0	11.0	91.0	81.0	4.0	38.0	24.0	22.0	5.0	21.0	30.0	49.0	39.0	40.0	118.0	52.0	5.0	43.0	31.0	124.0	6.0	172.0	97.0	29.0	70.0	57.0	47.0	35.0	16.0	60.0	45.0	8.0	81.0	74.0	12.0	103.0	136.0	37.0	40.0	153.0	20.0	187.0	48.0	48.0	109.0	16.0	96.0	19.0	97.0	12.0	30.0	356.0	323.0	18.0	132.0	55.0	36.0	66.0	75.0	49.0	12.0	36.0
theta_p_7	60.0	88.0	33.0	238.0	85.0	86.0	276.0	32.0	171.0	41.0	230.0	74.0	49.0	11.0	392.0	436.0	29.0	10.0	45.0	31.0	25.0	74.0	102.0	19.0	24.0	10.0	127.0	108.0	10.0	49.0	16.0	106.0	124.0	33.0	37.0	57.0	64.0	54.0	27.0	324.0	196.0	25.0	45.0	21.0	41.0	26.0	40.0	70.0	71.0	39.0	187.0	38.0	42.0	93.0	16.0	95.0	85.0	21.0	26.0	330.0	45.0	96.0	36.0	1.0	33.0	141.0	23.0	371.0	29.0	219.0	404.0	128.0	142.0	21.0	43.0	604.0	14.0	56.0	26.0	145.0	69.0	10.0	124.0	77.0	17.0	636.0	24.0	18.0	14.0	22.0	134.0	16.0	110.0	112.0	261.0	269.0	9.0	72.0	43.0	69.0
theta_p_8	20.0	8.0	14.0	5.0	1.0	132.0	1.0	29.0	8.0	9.0	36.0	18.0	3.0	11.0	10.0	39.0	2.0	19.0	51.0	11.0	10.0	16.0	29.0	5.0	20.0	20.0	10.0	104.0	100.0	4.0	78.0	63.0	6.0	20.0	30.0	12.0	11.0	26.0	14.0	2.0	23.0	12.0	10.0	0.0	28.0	6.0	34.0	6.0	4.0	42.0	12.0	10.0	3.0	2.0	25.0	12.0	17.0	8.0	82.0	10.0	28.0	7.0	34.0	14.0	11.0	2.0	57.0	42.0	85.0	10.0	24.0	9.0	22.0	8.0	8.0	13.0	6.0	13.0	28.0	6.0	16.0	13.0	10.0	20.0	7.0	8.0	8.0	98.0	2.0	11.0	61.0	25.0	35.0	18.0	25.0	15.0	65.0	4.0	7.0	162.0
theta_p_9	27.0	13.0	25.0	3.0	27.0	13.0	3.0	3.0	6.0	7.0	7.0	30.0	25.0	27.0	7.0	9.0	23.0	4.0	2.0	8.0	9.0	18.0	14.0	25.0	3.0	113.0	13.0	1.0	8.0	4.0	3.0	6.0	5.0	14.0	17.0	10.0	18.0	14.0	8.0	1.0	5.0	7.0	2.0	13.0	13.0	19.0	2.0	7.0	23.0	16.0	12.0	21.0	5.0	39.0	2.0	11.0	7.0	7.0	4.0	15.0	9.0	25.0	18.0	4.0	8.0	14.0	5.0	29.0	2.0	14.0	10.0	15.0	3.0	6.0	2.0	33.0	3.0	8.0	5.0	0.0	14.0	0.0	4.0	11.0	16.0	8.0	7.0	13.0	5.0	13.0	26.0	28.0	8.0	4.0	34.0	21.0	16.0	12.0	3.0	3.0
