#OTU ID	3min_early	9hr_early	18hr_early	42hr_early	49p5hr_early	3min_earlymid	9hr_earlymid	18hr_earlymid	42hr_earlymid	49p5hr_earlymid	3min_latemid	9hr_latemid	18hr_latemid	42hr_latemid	49p5hr_latemid	3min_late	18hr_late	42hr_late	49p5hr_late
(2,3-dihydroxy-3-methylbutanoate)	293.2987162319958	293.34217106124134	297.56460302770955	294.33216445983237	368.14196895947816	319.66913907766383	251.65003536044634	245.80756024524064	278.50082395605375	383.91956158965695	281.75760057797976	281.42570019987994	297.81412067414703	347.34405179152446	304.78960976896815	301.4657016585528	390.2236410668564	323.9108913727841	400.56049118015073
(2,5-diaminohexanoate)	308.13748395731227	303.13354967459844	302.587432559918	300.1356919839468	372.7682343858763	327.9844236828988	254.52918723796867	249.47980232490372	282.3352014023974	386.9951995082501	291.57526107557464	284.28796110328517	299.98484439989306	349.46338276584174	307.70384099653967	310.9950277260484	392.5030074758571	326.3672465511537	403.2490887328382
(3-hydroxypyridine)	308.1309535420436	304.6771323514109	303.6454937867148	300.6572685466626	373.86975680745303	328.45488473735236	255.8792247989326	251.30774114917998	284.53877499199837	388.31325904302395	291.9858487045699	285.73655498031343	300.86242012974816	350.1162877834024	309.20180633939674	311.07950164187275	392.9391935278263	328.9312531539467	404.845240155468
(3-methyladenine)	308.2622397510027	306.5348856892224	305.00377308596643	301.3038182981058	372.42973772332857	328.79222097560915	257.9629888353371	252.54218277777966	284.5033138145203	389.3041426875722	292.99923082916894	287.9830707091374	302.26394389934063	350.8856318232205	308.5911945541388	312.26455958517346	394.85552618896344	328.0226569570603	403.00010172673717
(4-oxoproline)	312.0916149388996	307.90956570678145	305.0165790040892	300.99609079347255	372.50819685996004	332.3643711822669	259.62599496928743	253.5575818125866	283.88336980852364	388.29320706550266	296.2135419733163	289.6484786980746	302.28540065506144	350.3736652280182	307.9311329109757	315.41327422062534	395.30749351344184	327.46196159150804	402.99111669124454
(5,6-dihydrothymine)	309.4815226448824	305.4075271900335	304.1589948290084	301.2092603297178	372.5066417439529	329.5861504100453	257.0883783408896	251.91114342631826	283.50894857844804	388.0621436361575	294.2748862669966	287.28055861213574	302.00704321002496	350.400351581178	309.2583228310847	312.72685283410567	393.8842541138803	327.80646418681636	403.05325540140893
(alanyl-leucine)	309.29619952196646	306.7431016319909	303.55230812763386	300.7973429387509	372.7848202066127	329.68762769386854	258.3451216425575	252.0930283425149	283.03941258558643	388.42223349742085	293.8555696780897	288.2489925113679	300.99456209050726	349.48254817635217	307.93318114360534	313.0774446499507	393.53902345833825	327.5602789352479	403.40582001991817
(dehydroalanine)	309.3566229221361	303.9343711262559	301.2379443998136	297.8265679791317	370.08126983184013	329.61709689332724	256.0688806624268	250.3475952043406	280.818731462139	385.49215390343306	292.9318506586618	285.6295141434964	297.9885026448425	347.09987743668427	305.3074361978261	312.5058150872949	390.50648352839323	324.28840215466676	400.73767417475807
(glycero-3-phosphoethanolamine)	306.932513891616	304.15997406959	303.50102917065135	299.01140524120626	372.27422652228853	327.0827918217971	255.14186262471435	250.06994189119374	280.92337148729297	387.51685059476483	290.34503876115093	284.39708012482816	298.6796593853828	347.18386380327826	306.49162159502515	309.7424808283243	391.37349961224567	323.54545990990573	401.03355589681377
(indoleacrylate)	309.17643545274274	306.30310780267723	302.39830428988057	296.9890723846455	369.73892448836915	329.6032129778434	258.387539257176	252.10477784565995	279.745545773411	386.8625784453169	293.9784172975472	288.5517678871241	302.026740720535	347.44667650957683	304.45524817617	313.24285919867873	394.243011627111	324.4349766932255	399.9343785674046
