#OTU ID	3min_early	9hr_early	18hr_early	42hr_early	49p5hr_early	3min_earlymid	9hr_earlymid	18hr_earlymid	42hr_earlymid	49p5hr_earlymid	3min_latemid	9hr_latemid	18hr_latemid	42hr_latemid	49p5hr_latemid	3min_late	18hr_late	42hr_late	49p5hr_late
(2,3-dihydroxy-3-methylbutanoate)	279.6521970004219	279.7167272783934	283.94618439443695	280.7018283438971	354.13929991605033	305.91724260245996	238.27749696231035	232.46312244540601	264.9618147845979	369.8655836827139	268.19538314130983	267.8986085110867	284.2097523400251	333.46081029087725	291.1241479051563	287.8051321278282	376.1415625616119	310.1730451967308	386.4032688460657
(2,5-diaminohexanoate)	294.49096472573837	289.5081058917505	288.9690139266454	286.5053558680115	358.7655653424485	314.23252720769494	241.15664883983268	236.1353645250691	268.79619223094153	372.941221601307	278.01304363890466	270.76086941449194	286.3804760657711	335.5801412651945	294.0383791327278	297.33445819532386	378.42092897061264	312.62940037510043	389.09186639875315
(3-hydroxypyridine)	294.4844343104697	291.05168856856295	290.0270751534422	287.0269324307273	359.8670877640252	314.7029882621485	242.5066864007966	237.96330334934535	270.99976582054256	374.25928113608086	278.4236312678999	272.2094632915202	287.2580517956262	336.2330462827552	295.5363444755849	297.41893211114814	378.85711502258187	315.19340697789346	390.68801782138297
(3-methyladenine)	294.6157205194288	292.90944190637447	291.38535445269383	287.6734821821705	358.42706867990074	315.0403245004053	244.5904504372011	239.19774497794504	270.96430464306445	375.2501647806291	279.43701339249895	274.45597902034416	288.6595755652187	337.00239032257326	294.9257326903269	298.60399005444884	380.773447683719	314.284810781007	388.84287939265215
(4-oxoproline)	298.4450957073257	294.2841219239335	291.39816037081664	287.36575467753727	358.5055278165322	318.61247470706303	246.25345657115147	240.21314401275197	270.3443606370678	374.23922915855957	282.6513245366463	276.12138700928136	288.6810323209395	336.49042372737097	294.26567104716383	301.7527046899007	381.22541500819744	313.7241154154548	388.8338943571595
(5,6-dihydrothymine)	295.83500341330847	291.78208340718555	290.5405761957358	287.5789242137825	358.5039727005251	315.83425393484146	243.71583994275366	238.56670562648367	269.9699394069922	374.0081657292144	280.7126688303266	273.7534669233425	288.402674875903	336.51711008053076	295.5928609672728	299.06628330338106	379.8021756086358	314.0686180107631	388.8960330673239
(alanyl-leucine)	295.64968029039255	293.117657849143	289.93388949436127	287.1670068228156	358.7821511631849	315.93573121866467	244.9725832444215	238.7485905426803	269.5004034141306	374.3682555904778	280.2933522414197	274.72190082257464	287.3901937563853	335.59930667570495	294.2677192797935	299.41687511922606	379.4569449530938	313.8224327591946	389.24859768583315
(dehydroalanine)	295.7101036905622	290.30892734340796	287.619525766541	284.19623186319643	356.0786007884123	315.8652004181234	242.69634226429082	237.00315740450597	267.27972229068314	371.43817599649	279.3696332219918	272.1024224547032	284.3841343107206	333.21663593603705	291.64197433401426	298.8452455565703	376.4244050231488	310.5505559786135	386.58045184067305
(glycero-3-phosphoethanolamine)	293.2859946600421	290.53453028674215	289.8826105373788	285.381069125271	358.2715574788607	313.33089534659325	241.76932422657836	236.7255040913591	267.3843623158371	373.46287268782174	276.78282132448095	270.86998843603493	285.0752910512609	333.30062230263104	292.8261597312133	296.0819112975997	377.2914211070012	309.80761373385246	386.87633356272875
(indoleacrylate)	295.52991622116883	292.6776640198293	288.779885656608	283.35873626871023	355.7362554449413	315.8513165026395	245.01500085904004	238.76034004582536	266.2065366019551	372.8086005383738	280.4161998608772	275.02467619833084	288.42237238641303	333.5634350089296	290.78978631235816	299.5822896679541	380.16093312186655	310.69713051717224	385.7771562333196
(leucyl-leucine)	296.4507787805265	294.04614232891174	290.008936083936	285.0723295938828	358.6729734247459	316.8855734897412	245.84697314902198	239.72740851839723	268.8341124654702	375.1731891668909	281.1983961322499	275.5294183085627	287.83530866252505	334.73885488399026	294.0514187464579	300.25894176533467	379.99996591691894	313.9931348432337	388.9412857188861
(lipoate)	287.8087736207406	286.10792274498334	285.3169092806047	281.164367785409	352.64322651184494	310.1662747876462	239.68479442086658	234.2374913335696	264.5350411021724	368.15282283783284	274.69432208314396	268.5573478083604	284.5279928679697	331.404866224166	289.42172803398984	291.27884725158566	376.6915939341213	308.5663961285837	384.29604742750234
(N6-acetyl-lysine)	299.4727981281533	295.5469798006647	293.42439086744736	291.75605857048606	361.89754881338604	319.8249212693676	247.8833646888405	242.7348180535489	274.3189283712723	379.0253345059656	283.37679880824936	277.6608619452768	291.9539222439682	340.85313415762033	298.63651630971543	302.8745316649176	383.79963899000506	318.2811956675749	394.4147582709234
(queuine)	295.8371974082725	291.2452481281176	289.661084452018	287.11181538377883	358.8366077636133	316.0208557396202	242.26000844622064	236.63739803824893	269.29471998063343	373.11002959963133	279.2956729852968	271.6243862981698	286.0954509072291	334.7766533288322	293.3262832299963	298.1614268875312	378.276438102911	311.6325071008635	387.7090088919675
2-aminobutanoate	290.49590632711124	287.22702568649953	286.42693175875326	283.1955241416979	354.5109221626264	311.2163309596626	238.94231772804812	233.80462159140424	265.9145700069294	369.530878173943	274.8039069504339	268.9635114290735	283.9066758292512	332.53149898027897	290.9407522486792	294.20589988828465	376.1870022626315	310.07473956216825	385.24747354813854
2-oxoglutarate	290.95767594749464	289.87697507950804	289.92077982022016	284.05890232936997	354.1721349770237	312.10399443270984	242.97466204812113	236.54050559056745	268.7463004335299	371.89559426246063	277.172109716678	272.8749615325293	287.0974702365663	335.1297854560793	290.3536858701644	295.5896338876618	378.1654829647497	310.7581702023674	384.807043130628
2'-deoxyguanosine	289.7318544143141	287.4389439829105	286.24835780311093	282.33864003691883	353.9872314543678	311.6217593813845	239.43405295407	233.93418363098735	266.1430029270856	369.7464524612285	275.79589378836374	269.7884026044564	284.1655450292222	331.45169890158485	290.1958485332145	294.53970471393257	375.6993437623251	309.55059023581146	384.7460101390706
2'-deoxyuridine	291.1943790753763	285.84716135550525	279.90925669202585	281.3743192286027	351.1495740658734	313.5970075067	239.16983700651502	237.20074951395085	262.26202917699084	367.9915450435287	277.5805040703607	272.6072033707539	283.6623821560794	330.8611077036972	288.72751894507087	296.981882674444	376.1150789200208	307.2893529904001	383.4592072176512
3',5'-cyclic-AMP	291.9294175317268	290.279858761492	289.82600211625436	286.15887749413935	358.0444331915134	312.1163298552073	242.5848811245733	237.43074192316396	268.44607896191087	374.23376584486385	276.82191297819895	272.4377438312054	287.1210348975498	335.46952629780986	293.52987560813926	296.71724786670063	378.88498397909	312.6963071738234	389.01726320149095
4-guanidinobutanoate	298.05763545869553	295.702774610916	293.89837905211914	290.83949106457817	362.65905318642604	318.4825814157943	247.41314791014474	241.85365581505445	274.0271324720503	377.0329128971285	282.4304167588527	277.387944221564	292.0187912928176	341.63677714770574	298.5929561265706	302.006030904212	383.7086041843474	318.072329041713	393.55608389692344
4-hydroxy-proline	294.377598241168	291.42716628164425	290.5648343065325	287.5806984377264	358.1427177188136	314.7318387770726	243.73218010517982	239.12103044402707	270.38364028373667	374.29352746379806	278.6848566159071	273.6156182970222	288.6742446111841	336.23019387413467	294.8839147365297	298.38318048112416	380.37423317495745	313.93227023957445	388.2080002425189
7-methyladenine	294.9485350504406	291.3048998380938	290.07931749418196	288.13006424256406	360.6819948641954	314.5087221518794	242.96217529412502	237.58886374506883	270.78251918398126	375.66617269133957	278.30658860171627	272.8162843590476	287.78865886212327	337.5612801113244	295.9536859564563	297.86645888689054	380.3007005899469	314.93481039595724	391.4125890470041
adenine	300.37270438032147	296.62365414078846	295.62566491288925	291.4093480249212	362.87020391701327	320.4075331398322	248.23383675137268	242.96146334801915	274.6708634444695	379.0841286266128	284.1195585743919	277.9247822452113	291.7635383309348	340.1571329775752	298.96887757477987	303.49662992892263	384.271426891348	317.6758656881671	393.6335819253931
adenosine	301.3959194093195	294.61742825155034	292.53130865192657	288.48848944284555	361.7054623938861	321.35959669606774	245.8288902851987	240.1936562822056	271.1324297666652	376.95617304865186	284.66634020428137	275.6508876726273	289.7000022982359	337.5249169498831	297.1713025245867	304.1663698851478	382.2930612767369	314.76487330981473	392.193694934411
alanine	291.0210172459195	287.2943860354312	284.35254621101967	281.4519163567205	352.9018381618022	312.8623166841034	239.78538569284905	236.10173053623595	264.38567847124904	368.4915075600688	277.3728135808015	271.751942034494	284.1868069835858	330.82564860461645	289.3143889657389	296.37407303426147	378.93598603325376	310.123412740718	383.57496096289464
aminoadipic acid	287.5161459209133	286.78312878483905	288.4966215198439	284.5195699729677	351.3499891677896	309.35538816760544	240.40650495179995	234.80236064809029	267.3709252761467	369.76467982796026	273.9669442287106	270.4348755109356	286.3630614389266	334.58685562607434	292.28720871537257	292.8853338233548	377.98878351459143	311.60253914579704	385.09878250872225
arginine	297.2186123234815	293.6288859009281	291.2970305303768	288.2992843116793	359.9336370399556	317.42670682029643	245.6309121146117	239.3283532197437	270.8649754339667	375.23207389008655	281.26977534066276	275.98020627090057	289.99549923257155	336.8792640997113	295.2985864137726	300.892828474365	381.8117388177417	314.2752907545659	389.88598705568927
asparagine	296.2448603064719	291.90964153399784	289.27590265110945	285.66219998080135	357.5394837912314	316.1913577088143	244.05000807961267	237.8209856054375	268.73433546693565	372.973296980837	281.00840595719166	273.7313299727149	286.45380024246737	334.2749447601786	293.0409236786093	299.4456987773304	378.9760882086723	311.89126323057906	387.6895729133857
