#OTU ID	3min_early	9hr_early	18hr_early	42hr_early	49p5hr_early	3min_earlymid	9hr_earlymid	18hr_earlymid	42hr_earlymid	49p5hr_earlymid	3min_latemid	9hr_latemid	18hr_latemid	42hr_latemid	49p5hr_latemid	3min_late	18hr_late	42hr_late	49p5hr_late
rplo 1 (Cyanobacteria)	301.6225673633346	296.759512634941	295.9709879785696	292.85104393100744	362.8946769632545	321.94531090524305	247.49664239245956	241.57059663454544	274.80172905534243	378.40880334038945	284.44759048192765	277.5289834797034	292.21285308470806	338.56054058313407	296.1997879899645	304.3613771191505	384.12497068913564	317.35020895455585	390.8338022318237
rplo 2 (Firmicutes)	-451.1413556893854	297.3719749501557	295.5960775387834	292.6782189431622	362.4605662570694	316.7548014913293	248.31705540762425	237.59140698557346	275.34313385116843	377.60155908485206	-467.60925724815195	278.3377994757175	293.70909754326317	341.23621385551183	298.54570620766486	-448.65660672868165	-367.19856381865867	315.7342136415756	392.4267788672037
rplo 60 (Firmicutes)	-451.1413556893854	-455.3192391103163	-456.70417944007	-459.24678326150865	361.0793869966163	-430.9041462549201	-504.29008469209816	240.0893857169288	271.3955794173618	378.23501250160353	-467.60925724815195	-474.587562088067	289.7266451985621	340.27569293088993	296.0944274743066	-448.65660672868165	382.40056340193706	314.64215875345366	-357.49808998766815
rplo 7 (Actinobacteria)	298.57683089122634	295.31114821691807	293.86057587220546	291.42377010745105	363.0819695327705	318.3399467111944	245.99353164631438	240.29945718667565	273.28200411313094	377.6841456758614	281.9724782297319	275.63940721468094	290.673707589103	339.2841912179874	297.4647214940801	301.60354812305195	382.3773065397728	316.23976220824073	390.0330243870714
rplo 10 (Firmicutes)	-451.1413556893854	-455.3192391103163	294.38875551066457	291.77253987188266	363.01944917578913	-430.9041462549201	-504.29008469209816	-509.7931039149742	-476.8946401057295	379.62700238742974	-467.60925724815195	-474.587562088067	291.3759046051829	340.60279474127424	-452.4887791734661	-448.65660672868165	-367.19856381865867	315.7342136415756	-357.49808998766815
rplo 100 (Proteobacteria)	298.1815181545822	292.61734037253143	291.7432256665437	288.560584489859	360.77108563696174	317.5612773571963	243.9341768632013	-509.7931039149742	271.1007798771412	375.6977945572475	279.60340339546906	272.7428815912104	287.8190539138089	337.05202858928993	295.38527995240025	300.2943246992164	-367.19856381865867	315.85199667723197	391.80951638416866
rplo 101 (Proteobacteria)	-451.1413556893854	-455.3192391103163	292.03995757451537	288.23781109759597	364.0086741707621	-430.9041462549201	243.145719502837	-509.7931039149742	270.3180205378915	376.41292064452625	281.0204694152557	273.0305636636622	288.13271147266397	-410.60691915695946	-452.4887791734661	-448.65660672868165	380.4603839275907	313.96842965875084	-357.49808998766815
rplo 102 (Actinobacteria)	297.6807428666697	293.51528196573736	292.6034269317668	289.2186403506077	-387.2525052228756	316.58044810418454	244.12027914283516	239.57422169156422	272.39746207957137	375.1869689334815	279.82654694678325	272.89703227103763	288.70325633113157	-410.60691915695946	-452.4887791734661	-448.65660672868165	380.3770023186517	315.2321216977784	390.630861387827
rplo 103 (Actinobacteria)	-451.1413556893854	293.3693280531143	293.3231411397115	290.67392758321455	360.13200567767205	316.5316579400151	243.48219173945824	239.930171735145	272.24591218144417	376.1538119445185	-467.60925724815195	273.8598430185467	-459.56545698673875	-410.60691915695946	296.14094748994154	-448.65660672868165	-367.19856381865867	-433.7297388006519	-357.49808998766815
rplo 104 (Bacteroidetes)	297.98084745912	-455.3192391103163	292.51501597442274	-459.24678326150865	360.3656205288536	316.7139794968091	-504.29008469209816	-509.7931039149742	272.98351112457493	-372.548939853904	-467.60925724815195	-474.587562088067	-459.56545698673875	-410.60691915695946	-452.4887791734661	300.5625886858111	381.1333284008332	313.9292089455975	392.8978193031779
rplo 105 (Proteobacteria)	-451.1413556893854	293.49028066353196	291.4970925970048	-459.24678326150865	360.9487668141992	-430.9041462549201	242.98320057333925	238.57879363913133	270.184489145267	376.2731587021511	280.46840083295564	273.97964421835934	-459.56545698673875	-410.60691915695946	294.84166450581125	300.6432775970612	381.431162844749	315.4288319920244	-357.49808998766815
