#OTU ID	3min_early	9hr_early	18hr_early	42hr_early	49p5hr_early	3min_earlymid	9hr_earlymid	18hr_earlymid	42hr_earlymid	49p5hr_earlymid	3min_latemid	9hr_latemid	18hr_latemid	42hr_latemid	49p5hr_latemid	3min_late	18hr_late	42hr_late	49p5hr_late
rplo 1 (Cyanobacteria)	302.2842959108928	297.4423166312252	296.66081712442906	293.52895559420426	363.20025569895876	322.5016622091713	248.43235177345568	242.53440661384292	275.5709676630187	378.66307321257847	285.19362082438977	278.3101395700422	292.9167325297182	338.98554686161896	296.84257390528467	305.009055367558	384.3511399630233	317.9206105576347	390.9848276768708
rplo 2 (Firmicutes)	-446.6087697258196	298.05477894643985	296.2859066846429	293.35613060635905	362.76614499277366	317.31115279525756	249.25276478862037	238.55521696487094	276.1123724588447	377.85582895704107	-462.99236948968223	279.11895556605634	294.4129769882733	341.6612201339967	299.1884921229851	-444.13807106426657	-363.1015371287634	316.3046152446544	392.5778043122508
rplo 60 (Firmicutes)	-446.6087697258196	-450.7655776980245	-452.1434928782029	-454.69801418230423	361.38496573232055	-426.47693753498424	-499.48351789509445	241.05319569622628	272.164818025038	378.48928237379255	-462.99236948968223	-469.9355485817205	290.43052464357226	340.7006992093748	296.73721338962685	-444.13807106426657	382.6267326758247	315.2125603565325	-353.4762071266135
rplo 7 (Actinobacteria)	299.23855943878453	295.99395221320225	294.5504050180649	292.1016817706479	363.38754826847475	318.8962980151226	246.9292410273105	241.26326716597313	274.0512427208072	377.93841554805033	282.718508572194	276.4205633050198	291.37758703411316	339.7091974964723	298.10750740940034	302.25122637145944	382.60347581366045	316.81016381131957	390.18404983211843
rplo 10 (Firmicutes)	-446.6087697258196	-450.7655776980245	295.0785846565241	292.4504515350795	363.3250279114934	-426.47693753498424	-499.48351789509445	-504.95843651966914	-472.25454408204564	379.88127225961875	-462.99236948968223	-469.9355485817205	292.079784050193	341.0278010197591	-447.9751358421383	-444.13807106426657	-363.1015371287634	316.3046152446544	-353.4762071266135
rplo 100 (Proteobacteria)	298.84324670214033	293.3001443688156	292.4330548124032	289.23849615305585	361.076664372666	318.1176286611245	244.8698862441974	-504.95843651966914	271.87001848481736	375.9520644294365	280.3494337379312	273.52403768154926	288.52293335881905	337.4770348677748	296.0280658677205	300.9420029476239	-363.1015371287634	316.4223982803108	391.96054182921574
rplo 101 (Proteobacteria)	-446.6087697258196	-450.7655776980245	292.7297867203749	288.9157227607928	364.3142529064664	-426.47693753498424	244.08142888383313	-504.95843651966914	271.08725914556777	376.66719051671527	281.76649975771784	273.81171975400105	288.83659091767413	-406.311055462467	-447.9751358421383	-444.13807106426657	380.6865532014784	314.53883126182967	-353.4762071266135
rplo 102 (Actinobacteria)	298.3424714142279	294.19808596202154	293.2932560776263	289.8965520138045	-383.0760690711637	317.1367994081128	245.05598852383125	240.5380316708617	273.1667006872476	375.44123880567054	280.5725772892454	273.6781883613765	289.40713577614173	-406.311055462467	-447.9751358421383	-444.13807106426657	380.60317159253935	315.8025233008572	390.7818868328741
rplo 103 (Actinobacteria)	-446.6087697258196	294.05213204939844	294.012970285571	291.3518392464114	360.4375844133763	317.08800924394336	244.41790112045433	240.89398171444248	273.0151507891204	376.4080818167075	-462.99236948968223	274.6409991088856	-454.990720125721	-406.311055462467	296.7837334052618	-444.13807106426657	-363.1015371287634	-429.28847978156546	-353.4762071266135
rplo 104 (Bacteroidetes)	298.6425760066782	-450.7655776980245	293.20484512028224	-454.69801418230423	360.67119926455786	317.2703308007373	-499.48351789509445	-504.95843651966914	273.7527497322512	-368.4238125657074	-462.99236948968223	-469.9355485817205	-454.990720125721	-406.311055462467	-447.9751358421383	301.21026693421857	381.35949767472084	314.49961054867634	393.04884474822495
rplo 105 (Proteobacteria)	-446.6087697258196	294.17308465981614	292.1869217428643	-454.69801418230423	361.25434554990346	-426.47693753498424	243.91890995433536	239.5426036184288	270.9537277529432	376.5274285743401	281.21443117541776	274.7608003086982	-454.990720125721	-406.311055462467	295.4844504211315	301.2909558454687	381.65733211863665	315.99923359510325	-353.4762071266135
rplo 106 (Acidobacteria)	-446.6087697258196	-450.7655776980245	-452.1434928782029	289.50878648279576	360.5841878875682	317.22777118631853	244.66921554873525	-504.95843651966914	275.0622569501573	375.4776064498414	281.2657244698053	-469.9355485817205	288.7565482100006	-406.311055462467	-447.9751358421383	300.23780593087736	-363.1015371287634	-429.28847978156546	-353.4762071266135
rplo 107 (Actinobacteria)	296.9048837587204	294.85349281459867	292.56885635356224	290.14786644208544	360.4375844133763	317.18331942374766	245.2903892296701	239.13713851032065	272.0282424900323	-368.4238125657074	281.8943331292277	274.7445397878264	289.38515686942293	338.7240671615612	295.4844504211315	-444.13807106426657	-363.1015371287634	315.4703894658346	390.03744635792657
rplo 108 (Actinobacteria)	297.9307366931061	292.69400856524527	292.7695270490244	290.04558759296503	-383.0760690711637	317.08800924394336	244.91433800676822	240.1325665627535	272.2266934287561	375.32345577001416	281.10320554030756	275.3431961249654	-454.990720125721	337.55399590891096	296.09058622470184	300.9954916325749	382.0627972267448	314.9696141779221	-353.4762071266135
rplo 109 (Proteobacteria)	-446.6087697258196	-450.7655776980245	-452.1434928782029	288.7044136671256	360.4888777077639	317.08800924394336	244.51968381476428	242.5324361698556	272.2266934287561	-368.4238125657074	-462.99236948968223	273.5781049028195	-454.990720125721	338.65260819757907	-447.9751358421383	-444.13807106426657	-363.1015371287634	-429.28847978156546	-353.4762071266135
rplo 11 (Proteobacteria)	-446.6087697258196	294.4088069933372	-452.1434928782029	-454.69801418230423	-383.0760690711637	319.13570208730863	246.81903788717688	240.63465850655075	271.64687493350317	-368.4238125657074	282.613797618105	275.2876262738106	292.42010985613024	340.13027683238204	296.6194303539705	302.9369275012353	382.49811529800263	316.479231755074	393.66108529017214
rplo 110 (Proteobacteria)	298.3424714142279	293.51720887405344	-452.1434928782029	288.8156393022358	361.9704822486881	317.18331942374766	243.9760683681753	-504.95843651966914	-472.25454408204564	376.55212118693044	281.21443117541776	-469.9355485817205	-454.990720125721	-406.311055462467	296.2316648229617	301.4745685580263	-363.1015371287634	314.4162289397373	390.7818868328741
rplo 111 (Actinobacteria)	298.78072634515905	293.9467715337406	-452.1434928782029	289.53476196919905	361.2998079239802	318.3549568474307	244.6120571348953	238.50114974360065	-472.25454408204564	375.5126977696527	282.21157400392104	273.7247083770114	288.7565482100006	338.4170421262663	-447.9751358421383	299.5666376570362	381.7303572536515	314.4587885541561	-353.4762071266135
rplo 112 (Actinobacteria)	-446.6087697258196	293.3871557458052	292.75645496745705	289.76302062118003	-383.0760690711637	318.8714004635009	245.90597817588417	239.04476519018962	272.63215853686427	-368.4238125657074	281.1321930771808	274.65901761438823	289.6893682438259	338.2471430894709	296.50610166866346	300.78785226779667	-363.1015371287634	-429.28847978156546	389.92622072281637
rplo 113 (unknown)	296.9048837587204	-450.7655776980245	-452.1434928782029	-454.69801418230423	360.5376678719333	317.8299465886727	243.85828533251893	240.00522714037692	272.0035498774419	-368.4238125657074	282.08770452220824	273.6293981972071	288.6695368330109	339.2139861005079	295.4844504211315	301.63515012818385	-363.1015371287634	-429.28847978156546	-353.4762071266135
rplo 114 (Deinococcus-Thermus)	-446.6087697258196	294.29227317708126	292.743209740707	288.9157227607928	360.7120212590781	317.3503735084109	246.15460081249938	238.60651025925847	271.7804063261277	-368.4238125657074	-462.99236948968223	274.504866934561	289.90922771993894	-406.311055462467	-447.9751358421383	299.5666376570362	380.7257739146317	314.53883126182967	-353.4762071266135
rplo 115 (Acidobacteria)	297.59803093928036	-450.7655776980245	292.1633912454541	289.4547192615255	-383.0760690711637	318.95981142084497	-499.48351789509445	238.4439913297607	271.6105072893323	376.7993622898237	281.21443117541776	276.48586840342756	-454.990720125721	-406.311055462467	296.88453810438375	300.1688130593904	-363.1015371287634	-429.28847978156546	390.03744635792657
rplo 116 (unknown)	-446.6087697258196	-450.7655776980245	-452.1434928782029	-454.69801418230423	-383.0760690711637	318.59208664071963	244.6120571348953	241.64146324596575	-472.25454408204564	-368.4238125657074	-462.99236948968223	-469.9355485817205	290.4911492653887	338.35250360512873	-447.9751358421383	-444.13807106426657	-363.1015371287634	-429.28847978156546	-353.4762071266135
rplo 117 (Deferribacteres)	-446.6087697258196	293.6322782038382	292.33774463259886	-454.69801418230423	-383.0760690711637	-426.47693753498424	246.13555261752867	239.29965743981842	273.3898442385618	-368.4238125657074	-462.99236948968223	275.6172725453614	-454.990720125721	339.1708139286427	-447.9751358421383	300.30234445201495	-363.1015371287634	315.25102663736027	-353.4762071266135
rplo 118 (Acidobacteria)	297.6740168462583	-450.7655776980245	292.23238411694103	289.42654838455877	361.712653139386	-426.47693753498424	-499.48351789509445	-504.95843651966914	271.0227206244302	375.4776064498414	281.2657244698053	-469.9355485817205	290.35761787276414	337.6921462473918	295.53851764240176	299.5666376570362	-363.1015371287634	315.1308823255182	-353.4762071266135
rplo 119 (Actinobacteria)	298.0034960473885	293.4671984534788	-452.1434928782029	289.4547192615255	360.5376678719333	317.18331942374766	245.2903892296701	238.4439913297607	270.9537277529432	375.4034984776877	281.1877629283356	274.7445397878264	289.36268401357086	337.6254548728931	-447.9751358421383	300.57427816749856	380.5121998143336	314.37177717716645	390.03744635792657
rplo 12 (Gemmatimonadetes)	299.1309287745921	295.36046486904866	293.6884118160756	290.5716806888618	362.3606798846655	320.1372822844254	246.9292410273105	239.84488449030175	272.05234004161133	376.80884103377826	281.9206504375451	276.66914735617786	290.90150435879104	338.7354958573848	295.53851764240176	301.8064218487912	383.1977771595838	316.479231755074	391.66771835726354
rplo 120 (Actinobacteria)	297.6493242336679	293.9145106715224	291.516764080529	290.1886884366057	-383.0760690711637	-426.47693753498424	243.9760683681753	239.85927322775385	272.3577216911625	375.44123880567054	282.33043520679774	275.0763171801434	289.40713577614173	-406.311055462467	296.2316648229617	300.2153330750253	381.2743398663805	315.10937612029727	390.08873965231413
rplo 121 (Actinobacteria)	296.956177053108	294.4088069933372	-452.1434928782029	288.76157208096555	361.6040192983832	317.8989394601597	245.3198031148764	239.84488449030175	272.5631656653773	375.44123880567054	281.24040666182105	273.6781883613765	289.40713577614173	-406.311055462467	295.53851764240176	299.52218589446534	380.5587198299685	314.4162289397373	390.08873965231413
