#OTU ID	3min_early	9hr_early	18hr_early	42hr_early	49p5hr_early	3min_earlymid	9hr_earlymid	18hr_earlymid	42hr_earlymid	49p5hr_earlymid	3min_latemid	9hr_latemid	18hr_latemid	42hr_latemid	49p5hr_latemid	3min_late	18hr_late	42hr_late	49p5hr_late
rplo 1 (Cyanobacteria)	357.7654571588564	352.2446566243681	351.2029841105783	345.8295815048435	428.94400786692836	381.9082855248349	294.21603934719906	287.3489233225585	324.6433296140242	448.9856299494626	337.80215171683074	329.7950966133972	347.0515986380219	400.58682003000894	350.53719973308426	361.22047123391854	455.8561230044876	376.85892034416736	462.5382975165491
rplo 2 (Firmicutes)	-394.9984658938636	352.85711893958273	350.82807367079215	345.65675651699826	428.50989716074326	376.7177761109212	295.0364523623638	283.3697336735865	325.1847344098502	448.1783856939252	-414.25469601324886	330.6039126094113	348.547843096577	403.2624933023867	352.88311795078465	-391.7975126139136	-295.4674115033067	375.2429250311871	464.1312741519291
rplo 60 (Firmicutes)	-394.9984658938636	-399.83409512088923	-401.47218330806123	-406.2682456876726	427.12871790029016	-370.9411716353282	-457.5706877373587	285.86771240494187	321.23717997604354	448.81183911067666	-414.25469601324886	-422.3214489543732	344.56539075187595	402.3019723777648	350.4318392174264	-391.7975126139136	454.131715717289	374.15087014306516	-285.79359470294276
rplo 7 (Actinobacteria)	354.71972068674813	350.79629220634513	349.09257200421416	344.4023076812871	429.13130043644435	378.30292133078626	292.7129286010539	286.07778387468875	323.1236046718127	448.2609722849345	335.327039464635	327.90552034837475	345.51245314241686	401.3104706648623	351.8021332371999	358.46264223782	454.10845885512475	375.74847359785224	461.7375196717968
rplo 10 (Firmicutes)	-394.9984658938636	-399.83409512088923	349.6207516426733	344.7510774457187	429.068780079463	-370.9411716353282	-457.5706877373587	-464.01477722696114	-427.0530395470477	450.20382899650286	-414.25469601324886	-422.3214489543732	346.21465015849674	402.6290741881491	-398.15136743034634	-391.7975126139136	-295.4674115033067	375.2429250311871	-285.79359470294276
rplo 100 (Proteobacteria)	354.324407950104	348.1024843619585	346.97522179855247	341.53912206369506	426.8204165406356	377.52425197678815	290.6535738179408	-464.01477722696114	320.94238043582294	446.2746211663206	332.95796463037215	325.0089947249042	342.65779946712274	399.0783080361648	349.72269169552004	357.15341881398444	-295.4674115033067	375.3607080668435	463.51401166889406
rplo 101 (Proteobacteria)	-394.9984658938636	-399.83409512088923	347.27195370652413	341.216348671432	430.058005074436	-370.9411716353282	289.8651164575765	-464.01477722696114	320.1596210965733	446.9897472535994	334.3750306501588	325.296676797356	342.9714570259778	-348.5806397100846	-398.15136743034634	-391.7975126139136	452.1915362429427	373.47714104836234	-285.79359470294276
rplo 102 (Actinobacteria)	353.82363266219147	349.0004259551644	347.8354230637756	342.19717792444374	-321.2031743192017	376.5434227237764	290.8396760975746	285.3525483795773	322.23906263825313	445.76379554255465	333.18110818168634	325.16314540473144	343.5420018844454	-348.5806397100846	-398.15136743034634	-391.7975126139136	452.10815463400365	374.7408330873899	462.3353566725524
rplo 103 (Actinobacteria)	-394.9984658938636	348.8544720425414	348.55513727172024	343.6524651570506	426.18133658134593	376.494632559607	290.2015886941977	285.70849842315806	322.08751274012593	446.73063855359163	-414.25469601324886	326.1259561522405	-404.7267114334249	-348.5806397100846	350.4783592330613	-391.7975126139136	-295.4674115033067	-374.2210274110404	-285.79359470294276
rplo 104 (Bacteroidetes)	354.1237372546418	-399.83409512088923	347.7470121064315	-406.2682456876726	426.41495143252746	376.67695411640096	-457.5706877373587	-464.01477722696114	322.8251116832567	-301.9721132448309	-414.25469601324886	-422.3214489543732	-404.7267114334249	-348.5806397100846	-398.15136743034634	357.4216828005791	452.86448071618514	373.437920335209	464.60231458790327
